gloveOrHand,observation,year
glove,https://www.inaturalist.org/observations/61510600,2017
hand,https://www.inaturalist.org/observations/61510605,2017
hand,https://www.inaturalist.org/observations/61512097,2016
glove,https://www.inaturalist.org/observations/61512874,2017
hand,https://www.inaturalist.org/observations/61513266,2018
hand,https://www.inaturalist.org/observations/61583450,2018
hand,https://www.inaturalist.org/observations/61626269,2020
glove,https://www.inaturalist.org/observations/61636716,2019
hand,https://www.inaturalist.org/observations/61754769,2020
glove,https://www.inaturalist.org/observations/61763929,2020
glove,https://www.inaturalist.org/observations/61788950,2020
glove,https://www.inaturalist.org/observations/61840399,2013
hand,https://www.inaturalist.org/observations/61882696,2020
hand,https://www.inaturalist.org/observations/61927291,2020
hand,https://www.inaturalist.org/observations/61927652,2020
glove,https://www.inaturalist.org/observations/61927873,2020
hand,https://www.inaturalist.org/observations/61928079,2019
glove,https://www.inaturalist.org/observations/61928146,2019
hand,https://www.inaturalist.org/observations/61928260,2019
hand,https://www.inaturalist.org/observations/61928344,2020
hand,https://www.inaturalist.org/observations/61928452,2020
glove,https://www.inaturalist.org/observations/61928751,2020
hand,https://www.inaturalist.org/observations/61928871,2020
hand,https://www.inaturalist.org/observations/61966915,2018
hand,https://www.inaturalist.org/observations/61971933,2020
hand,https://www.inaturalist.org/observations/61977764,2016
hand,https://www.inaturalist.org/observations/61985749,2020
glove,https://www.inaturalist.org/observations/62016859,2020
hand,https://www.inaturalist.org/observations/62086131,2020
hand,https://www.inaturalist.org/observations/62092389,2020
hand,https://www.inaturalist.org/observations/62120897,2020
glove,https://www.inaturalist.org/observations/62152561,2020
glove,https://www.inaturalist.org/observations/62163990,2020
glove,https://www.inaturalist.org/observations/6216410,1989
hand,https://www.inaturalist.org/observations/62167685,2014
hand,https://www.inaturalist.org/observations/62273943,2020
hand,https://www.inaturalist.org/observations/62291337,2020
hand,https://www.inaturalist.org/observations/62342067,2020
hand,https://www.inaturalist.org/observations/62384215,2020
hand,https://www.inaturalist.org/observations/62393736,2013
hand,https://www.inaturalist.org/observations/62401973,2020
glove,https://www.inaturalist.org/observations/62421629,2014
hand,https://www.inaturalist.org/observations/62429494,2020
hand,https://www.inaturalist.org/observations/62447138,2016
glove,https://www.inaturalist.org/observations/62465910,2020
glove,https://www.inaturalist.org/observations/62466174,2020
glove,https://www.inaturalist.org/observations/62475738,2020
hand,https://www.inaturalist.org/observations/62477892,2011
glove,https://www.inaturalist.org/observations/62478203,2016
hand,https://www.inaturalist.org/observations/62481970,2020
glove,https://www.inaturalist.org/observations/62482943,2020
hand,https://www.inaturalist.org/observations/62533268,2020
hand,https://www.inaturalist.org/observations/62534307,2020
hand,https://www.inaturalist.org/observations/62549359,2018
hand,https://www.inaturalist.org/observations/62549609,2020
hand,https://www.inaturalist.org/observations/62549611,2020
hand,https://www.inaturalist.org/observations/62549614,2020
hand,https://www.inaturalist.org/observations/62549615,2020
glove,https://www.inaturalist.org/observations/62549616,2020
glove,https://www.inaturalist.org/observations/62549617,2020
hand,https://www.inaturalist.org/observations/62549618,2020
glove,https://www.inaturalist.org/observations/62552470,2017
glove,https://www.inaturalist.org/observations/62552632,2016
hand,https://www.inaturalist.org/observations/62589793,2020
hand,https://www.inaturalist.org/observations/62681759,2019
hand,https://www.inaturalist.org/observations/62715576,2020
hand,https://www.inaturalist.org/observations/62749205,2020
hand,https://www.inaturalist.org/observations/62749297,2020
hand,https://www.inaturalist.org/observations/629125,2001
hand,https://www.inaturalist.org/observations/629129,2001
hand,https://www.inaturalist.org/observations/629131,2001
hand,https://www.inaturalist.org/observations/629133,2001
hand,https://www.inaturalist.org/observations/629135,2001
hand,https://www.inaturalist.org/observations/629138,2001
hand,https://www.inaturalist.org/observations/629139,2001
hand,https://www.inaturalist.org/observations/629142,2001
hand,https://www.inaturalist.org/observations/629143,2002
hand,https://www.inaturalist.org/observations/629145,2001
hand,https://www.inaturalist.org/observations/629156,2001
hand,https://www.inaturalist.org/observations/62982945,2015
glove,https://www.inaturalist.org/observations/62982948,2020
